Date,Open,High,Low,Close,Adj Close,Volume
2016-09-05,3.255800,3.278600,3.246100,3.256100,3.256100,0
2016-09-06,3.267100,3.280600,3.220200,3.267200,3.267200,0
2016-09-07,3.195900,3.213000,3.174500,3.196300,3.196300,0
2016-09-08,3.190600,3.214200,3.163500,3.190700,3.190700,0
2016-09-09,3.214100,3.276000,3.212600,3.214900,3.214900,0
2016-09-12,3.271700,3.303000,3.266700,3.271700,3.271700,0
2016-09-13,3.243300,3.316000,3.243300,3.246900,3.246900,0
2016-09-14,3.312000,3.343800,3.298400,3.314100,3.314100,0
2016-09-15,3.343000,3.364400,3.313000,3.343500,3.343500,0
2016-09-16,3.299900,3.317200,3.286100,3.299800,3.299800,0
2016-09-19,3.265200,3.275600,3.251600,3.265500,3.265500,0
2016-09-20,3.271100,3.272100,3.244300,3.271200,3.271200,0
2016-09-21,3.256200,3.258900,3.228800,3.256100,3.256100,0
2016-09-22,3.209500,3.215500,3.179500,3.209600,3.209600,0
2016-09-23,3.219100,3.231300,3.200100,3.217000,3.217000,0
2016-09-26,3.243600,3.250000,3.232600,3.243200,3.243200,0
2016-09-27,3.241600,3.245500,3.218600,3.240600,3.240600,0
2016-09-28,3.232800,3.253100,3.230200,3.232600,3.232600,0
2016-09-29,3.217900,3.234300,3.211200,3.217800,3.217800,0
2016-09-30,3.259000,3.259400,3.229800,3.259300,3.259300,0
2016-10-03,3.260800,3.261200,3.224200,3.259800,3.259800,0
2016-10-04,3.208800,3.233200,3.203500,3.208700,3.208700,0
2016-10-05,3.256800,3.259400,3.225600,3.254500,3.254500,0
2016-10-06,3.218700,3.242000,3.214100,3.218500,3.218500,0
2016-10-07,3.226900,3.238700,3.189100,3.227200,3.227200,0
2016-10-10,3.221600,3.221600,3.197800,3.219300,3.219300,0
2016-10-11,3.203000,3.224100,3.196300,3.202700,3.202700,0
2016-10-12,3.195800,3.200900,3.191700,3.195900,3.195900,0
2016-10-13,3.200800,3.216200,3.193400,3.200700,3.200700,0
2016-10-14,3.177400,3.196300,3.155900,3.177300,3.177300,0
2016-10-17,3.203900,3.203900,3.185200,3.202000,3.202000,0
2016-10-18,3.203900,3.204600,3.175200,3.204200,3.204200,0
2016-10-19,3.183100,3.195200,3.163200,3.181700,3.181700,0
2016-10-20,3.166800,3.169100,3.149200,3.166100,3.166100,0
2016-10-21,3.135600,3.164000,3.134700,3.139100,3.139100,0
2016-10-24,3.145400,3.150900,3.115900,3.148900,3.148900,0
2016-10-25,3.124400,3.133900,3.098100,3.124500,3.124500,0
2016-10-26,3.110400,3.133000,3.106900,3.110400,3.110400,0
2016-10-27,3.139200,3.159300,3.127000,3.138800,3.138800,0
2016-10-28,3.161800,3.192600,3.154500,3.165300,3.165300,0
2016-10-31,3.203100,3.204700,3.163200,3.203100,3.203100,0
2016-11-01,3.197900,3.230100,3.173500,3.198200,3.198200,0
2016-11-02,3.235400,3.241400,3.219500,3.235100,3.235100,0
2016-11-03,3.252400,3.252500,3.218100,3.252600,3.252600,0
2016-11-04,3.258400,3.260400,3.227000,3.258400,3.258400,0
2016-11-07,3.232300,3.241400,3.184000,3.232300,3.232300,0
2016-11-08,3.200800,3.212600,3.186900,3.200900,3.200900,0
2016-11-09,3.167600,3.245100,3.162000,3.168100,3.168100,0
2016-11-10,3.232900,3.385300,3.206500,3.233000,3.233000,0
2016-11-11,3.394800,3.494100,3.382600,3.395600,3.395600,0
2016-11-14,3.391700,3.473100,3.386500,3.390000,3.390000,0
2016-11-15,3.439300,3.444200,3.431900,3.440300,3.440300,0
2016-11-16,3.441800,3.444200,3.399600,3.441700,3.441700,0
2016-11-17,3.450300,3.451600,3.373800,3.450700,3.450700,0
2016-11-18,3.431200,3.437100,3.369200,3.432400,3.432400,0
2016-11-21,3.383200,3.383200,3.336700,3.382300,3.382300,0
2016-11-22,3.387500,3.387500,3.327100,3.387400,3.387400,0
2016-11-23,3.362700,3.411600,3.349700,3.363600,3.363600,0
2016-11-24,3.430700,3.437700,3.382700,3.431100,3.431100,0
2016-11-25,3.390600,3.462400,3.387800,3.390700,3.390700,0
2016-11-28,3.421000,3.422200,3.386800,3.421000,3.421000,0
2016-11-29,3.406800,3.409900,3.376600,3.407200,3.407200,0
2016-11-30,3.453800,3.454000,3.378600,3.453800,3.453800,0
2016-12-01,3.404200,3.476400,3.382200,3.406300,3.406300,0
2016-12-02,3.576300,3.577300,3.443500,3.573000,3.573000,0
2016-12-05,3.474700,3.504300,3.441900,3.474700,3.474700,0
2016-12-06,3.420100,3.461400,3.416700,3.420000,3.420000,0
2016-12-07,3.406500,3.407700,3.364000,3.406300,3.406300,0
2016-12-08,3.381500,3.414500,3.369700,3.381600,3.381600,0
2016-12-09,3.374400,3.408000,3.350100,3.373700,3.373700,0
2016-12-12,3.377700,3.405600,3.336500,3.377000,3.377000,0
